id,name,b_exp,crit,final_crit,crit_res,final_crit_res,dodge,final_dodge,final_aspd,hit,final_hit,j_exp,m_def,final_m_def,final_m_dmg_bonus,final_m_dmg_res,m_dps,m_pen,final_m_pen,m_dmg_bonus,m_dmg_res,max_hp,loc_id,p_def,final_p_def,p_dps,final_p_dmg_bonus,final_p_dmg_res,final_p_pen,p_pen,p_reflect,p_dmg_res,p_dmg_bonus,level,res_id,description,zeny,size,attr,race,loc
10179,sageworm,220.0,189.0,,189.0,,189.0,,,189.0,,132.0,1134.0,,,,4927.0,567.0,,,,588131.0,1620.0,756.0,,7391.0,,,,378.0,,,983.0,87.0,10179.0," As the oldest group of insect monsters, they have their own pride. No matter how you put it, they are elders filled with wisdom who serve as positive role models for young children. Their stooped backs give off a scholarly style even in the sewers—after all, there is no other group of monsters in the entire continent who both carry books and wear Scholar Hats, is there?""Perhaps their wisdom has already reached a point where they can communicate with humans. If we could hold the first-ever Monster-Human Academic Exchange Conference, they would certainly be the first guests to be invited."" Monster Researcher Bertha carefully observed the Sageworm photo for a moment before lowering her head and swiftly writing in her notes.",50.0,small,neutral,brute,Glast Heim Sewer
10180,dark frame,206.0,250.0,0.08329,250.0,0.16658,250.0,0.16658,,250.0,0.08329,206.0,1499.0,0.16658,0.16658,-0.16658,17708.0,750.0,0.16658,,,1706348.0,1740.0,999.0,0.16658,11806.0,0.08329,-0.16658,0.08329,500.0,,,2406.0,97.0,10180.0," Just who was it who sealed Dark Frame in the world within the mirror? Even it doesn't remember; all it remembers is that it spent great effort trying to break free of the mirror world, but sadly, it was fettered by a new dark force halfway through the implementation of its plan. And from that moment onward, it became a strange monster that bears the burden of the world within the mirror. It is still searching for a way out, and it's said that recently, it's trying to use a scapegoat method to draw a targeted adventurer into the mirror and replace itself.""Hm... Does this so-called mirror world actually exist? Just what kind of energy does it contain? Seems worthy of investigating..."" The armor merchant Dael is seeking inspiration from monsters to design new armor.",58.0,small,shadow,demi-human,Clock Tower B1
10182,sting,141.0,213.0,0.07088,213.0,0.14177,213.0,0.14177,,213.0,0.07088,235.0,1276.0,0.14177,0.14177,-0.14177,4991.0,638.0,0.14177,,,809365.0,1620.0,851.0,0.14177,3327.0,0.07088,-0.14177,0.07088,425.0,,,1177.0,91.0,10182.0," Perhaps it is because they have been entangled in the swamps for too long that the vengeful spirits of the nobility floating around Glast Heim finally coalesced into this elegant and noble appearance. Never without their gentlemanly white gloves, they invite passersby to dance with them. Of course, even if one is attending a dance in the sewers, they must still don their distinct bow ties—how else would they display their status as Sting nobility?""Ugh, what's with that sticky hand? I can't handle this sort of thing. It's just like the Ghouls under Geffen! That Payon Munak boy is still the cutest!"" Eudora took several steps backward as she looked at the Sting off in the distance.",53.0,small,earth,formless,Glast Heim Sewer
10184,khalitzburg,470.0,256.0,0.08549,256.0,0.17097,256.0,0.17097,,256.0,0.08549,784.0,1026.0,0.17097,0.08549,-0.17097,41232.0,513.0,0.08549,2577.0,,5510605.0,1760.0,1539.0,0.17097,61847.0,0.17097,-0.17097,0.17097,769.0,,,,98.0,10184.0," Who could have imagined that in the glorious past, this now limping group of steel-clad Skels were the beautiful lady knights of the Khalitzburg Chivalry, which were quite popular in Glast Heim. However, at this moment, they are shrouded in endless darkness and an aura of rage, leaving behind naught but soulless, empty shells brandishing their blades, turning them into monsters emitting evil auras in the ruins.""I'm so curious what the ladies of the Khalitzburg looked like..."" Eudora, who is only interested in Doppelgangers, couldn't help but let out a sigh as she read ""A Comprehensive Guide to Doppelgangers.""",175.0,large,undead,undead,Clock Tower 2F
10185,zherlthsh,424.0,263.0,0.08776,263.0,0.17552,263.0,0.17552,,263.0,0.08776,424.0,1053.0,0.17552,0.08776,-0.17552,17624.0,527.0,0.08776,2754.0,,3945566.0,1730.0,1580.0,0.17552,26436.0,0.17552,-0.17552,0.17552,790.0,,,,99.0,10185.0," Although the Zherlthsh roaming the Glast Heim Churchyard is famed for her glamor, just one look at the bloodstained whip in her hands tells you that this rose's thorns are razor sharp. If one wants to approach her, they may have to offer her their heart. Don't be fooled by her enchanting walk, which makes her look like the top model in Midgard, for she won't be even the least bit gentle when she brandishes her whip.Reminder from the Glast Heim Ruins Conservation Association: A dangerous enchantress has appeared in the Glast Heim Churchyard. Beware of this beauty's traps, and be careful, adventurers!",118.0,medium,neutral,demi-human,Nightmare Clock Tower
10187,skeleton prisoner,388.0,225.0,0.07494,225.0,0.14989,225.0,0.14989,,225.0,0.07494,388.0,1124.0,0.14989,0.07494,-0.14989,18993.0,450.0,0.07494,1283.0,,1783328.0,1650.0,1124.0,0.14989,28490.0,0.14989,-0.14989,0.14989,674.0,,,,93.0,10187.0," A civilization's prosperity is always accompanied by countless bones and sacrifices—though of course, if one is lucky, they'll become a prisoner of war thrown into a dark jail. However, Glast Heim's prisoners never imagined that the shackles on their wrists and ankles would give them an opportunity for immortality. After endless slavery and torture, these prisoners of war clad in striped prison uniforms were corrupted by a dark aura, becoming Skeleton Prisoners that would roam the Glast Heim Prison until the end of days, waiting for the next adventurer to pass by.",109.0,medium,undead,undead,Glast Heim Prison
10190,rybio,555.0,205.0,,205.0,,205.0,,,205.0,,555.0,1024.0,,,,47955.0,410.0,,1116.0,,2036084.0,1660.0,1024.0,,31970.0,,,,614.0,,,,90.0,10190.0," With one hand wielding a hook and the other wielding a sharp magic saw, Rybio has appeared near the Glast Heim Churchyard for many years. It seems to have never removed the unique hood covering its head, leading to curious adventurers often trying to steal it. However, not one of them has ever succeeded, and numerous people have been even been reduced to ghosts beneath Rybio's saw blade.""I'm less interested in Rybio's weapons than its hood. If anyone can grab me that hood, I'll give them a limited-edition entrance ticket to visit my most prized collection."" Material Merchant Sampson carefully evaluated everything on Rybio's person before making this judgment.",157.0,large,neutral,demi-human,Glast Heim Churchyard
10192,phendark,323.0,270.0,0.09005,270.0,0.1801,270.0,0.1801,,270.0,0.09005,968.0,1351.0,0.1801,0.09005,-0.1801,81705.0,540.0,0.09005,2935.0,,6339167.0,1730.0,1351.0,0.1801,122557.0,0.1801,-0.1801,0.1801,810.0,,,,100.0,10192.0," Phendarks with absolute power are the last barrier to the Clock Tower. Over the years, a number of adventurers have attempted to explore deep into the Clock Tower to find out what’s going on, but almost no one has been able to break their iron-clad defenses. Only curious Monster Researchers can take a keen interest in their true appearance under the mask. “Look! There’s a strange mark on the brow of that mask! I speculate that this is probably some kind of power-suppressing spell! In other words, if the mask can be removed, these Phendarks will become even more powerful!” A Monster Researcher holding binoculars hides in the distance, his tone revealing an uncontainable excitement.",180.0,large,neutral,demi-human,Nightmare Clock Tower
10193,wanderer,209.0,256.0,0.08549,256.0,0.17097,256.0,0.17097,,256.0,0.08549,627.0,1026.0,0.17097,0.08549,-0.17097,13813.0,513.0,0.08549,2577.0,,3673736.0,1730.0,1539.0,0.17097,20719.0,0.17097,-0.17097,0.17097,769.0,,,,98.0,10193.0," Battle is their entire reason for being. In the pursuit of the highest realm of combat, in life, they scoured the land in search of worthy adversaries to duel. After they lost to the commander of the White Knights, they remained in Glast Heim, where they devoted themselves to their training and prepared to face their former opponent once more. Little did they know that when Glast Heim underwent its massive change, they would be reduced to Wanderers, destined to wield their swords forever.""Just look at this exotic attire! If he hadn't been changed into an evil monster, surely he would be as handsome as Master Halmod himself!"" Enchantment Merchant Stella shook her head with regret as she gazed at the Wanderer's figure in the distance.",117.0,medium,wind,demi-human,Nightmare Clock Tower
10194,abysmal knight,739.0,231.0,0.077,231.0,0.154,231.0,0.154,,231.0,0.077,443.0,1155.0,0.154,0.154,-0.154,48196.0,462.0,0.154,1339.0,,2804980.0,1640.0,1155.0,0.154,32130.0,0.077,-0.154,0.077,693.0,,,,94.0,10194.0," Once the world-renowned White Knights of Glast Heim, they have now become the sinister witnesses to the haunted city of Glast Heim, gazing into the abyss of death and emerging from people's nightmares. These warriors, driven mad by bloodlust, still carry the banner of the Kingdom of Glast Heim, and all that remains on their once-handsome faces are their ferocious, bloody maws and six terrifying eyes. Though they were once clad with suits of armor, these knights are now demonic spirits covered in ghoulish scales.""The Abysmal Knight and his warhorse can be said to have a profound friendship. I too will never give up on my Cocoa!"" After hearing the legend of the Abysmal Knight, Young pet his own Pecopeco mount with a sparkle of determination in his eyes.",166.0,large,shadow,demi-human,Glast Heim Chivalry
10195,bloody knight,376.0,175.0,,175.0,,175.0,,,175.0,,626.0,875.0,,,,11508.0,350.0,,867.0,,1530739.0,1640.0,875.0,,17262.0,,,,525.0,,,,84.0,10195.0," If it is not for the bloody stench of their breath that can be smelled coming from their faces when near them, they would look like large statues with teeth and claws. They move slowly and almost motionlessly. However, their spiked shields and sharp swords will mercilessly pierce the chest of any enemy who approaches.""I don't want to fight like those monsters. They're just Orc Warriors wearing top-notch armor."" Weapon Merchant Anderson held his own new weapon tightly, afraid of scraping the newly-made hilt.",144.0,large,shadow,formless,Glast Heim Chivalry
10196,aster,345.0,560.0,0.1868,598.0,0.1992,1158.0,0.1992,,486.0,0.1868,115.0,1793.0,0.2977,0.311,-0.7222,42362.0,1307.0,0.311,2017.0,,3528796.0,1820.0,1793.0,0.2988,28806.0,0.19,-0.7222,0.187,934.0,,,6052.0,105.0,10196.0," Lurking in the coral reef in the shallow sea, they hide themselves among the bright colors of coral, waiting for a chance to seize a passing fish. Their bodies are decorated with pupil-shaped patterns, which shine ominously at night. For some reason, they follow the orders of Mermen under certain circumstances.",63.0,small,earth,fish,Kokomo Beach
10197,crab,242.0,613.0,0.2044,654.0,0.218,1267.0,0.218,,531.0,0.2044,242.0,1962.0,0.327,0.341,-0.7902,40172.0,1430.0,0.341,2435.0,,4390743.0,1820.0,1962.0,0.327,27317.0,0.2,-0.7902,0.204,1022.0,,,7304.0,109.0,10197.0," When the worn claws have too many ages to swim in the underwater torrents, even a Vadon would long for some peaceful years in the old age. Look at all the peace here, Comodo is obviously a perfect place. The moist and salty sea breeze flutters the grey tentacles, and the warm currents bring algae to the rotten teeth. As for predators...?  ""Pew! Pew pew, pew pew! (Hmph, you crippled bird is never going to catch this crab moving sideways!)"" Crab waves the claws in complacence and looks at the Ragglers jumping on the distant beach, spitting lots of bubbles.",67.0,small,water,fish,Kokomo Beach
10198,sea otter,448.0,534.0,0.1779,285.0,0.1898,285.0,0.1898,,463.0,0.1779,448.0,1921.0,0.4032,0.178,-0.5693,34961.0,890.0,0.178,5460.0,,6261016.0,1850.0,2633.0,0.4032,51413.0,0.3,-0.5693,0.297,1245.0,,,,103.0,10198.0," These monsters should be living in the seas, but gradually moved to the dry deserts. In adaptation to lives on the land, they hide the big tails used to push water by squeezing them into seashells. The shells they carry now serve as important tools by cutting the tough skins of desert plants, providing the key method of water supply. ""Look! The Sea Otters have started their shell maintenance! Polish them on the rocks, rinse them in plant juice, and rub them with fish oil to prevent oxidation..."" Naughty children hide behind the bushes, quickly writing on something with ""Monster Observation Diary"" on the cover. Oh, it seems that the due date of winter vacation assignment is not far away.",124.0,medium,water,brute,St. Darmaint East
10199,raggler,164.0,355.0,0.11841,355.0,0.23682,355.0,0.23682,,355.0,0.11841,273.0,2131.0,0.23682,0.11841,-0.23682,21335.0,1066.0,0.11841,,,2894601.0,1850.0,1421.0,0.23682,32002.0,0.23682,-0.23682,0.23682,710.0,,,4000.0,101.0,10199.0," Unable to fly due to short wings, and born crippled because of a certain genetic disease, they seem to devote their lives to returning to the sky, even imitating humans. Even equipped with special goggles made for human pilots, they can only stand on the tip of toe, and jump to draw near the sky in their dreams. ""Their crippled bodies do not stop their hearts from soaring."" A famous adventurer commented when arriving here.",60.0,small,wind,brute,St. Darmaint East
10200,anolian,478.0,599.0,0.1997,320.0,0.213,320.0,0.213,,519.0,0.1997,478.0,2157.0,0.4527,0.333,-0.6391,52302.0,999.0,0.333,6974.0,,8323558.0,1840.0,2956.0,0.4527,35566.0,0.2,-0.6391,0.2,1398.0,,,,108.0,10200.0," Monsters with their own society, where clear hierarchy and divided tasks are established. They are capable of quick learning and utilizing tools, and love to settle beside water, where their resilient body brings an advantage in speedy food acquirement. Due to the similar living habits, however, they are often engaged in territory clashes with Alligators, monsters also inhabiting Zenhai Marsh, and really have a beef with them.",132.0,medium,water,fish,Zenhai Marsh
10201,stem worm,341.0,547.0,0.1823,292.0,0.1945,292.0,0.1945,,474.0,0.1823,568.0,1969.0,0.4133,0.182,-0.5834,48892.0,912.0,0.182,5752.0,,6652947.0,1830.0,2698.0,0.4133,71900.0,0.3,-0.5834,0.304,1276.0,,,,104.0,10201.0," Branches on the back are there toabsorb sunshine, enabling them to spend a whole day in the sun without moving. Surprisingly, a Stem Worm also feeds on organisms, and hunts for insects to keep itself in function, when not getting enough sunshine for a while. As a result, the debate about their identity as animals or plants never stops.",126.0,medium,wind,plant,Papuchicha Forest
10202,thara frog,221.0,521.0,0.1735,278.0,0.1851,278.0,0.1851,,451.0,0.1735,663.0,2568.0,0.3933,451.0,-0.5784,87111.0,1215.0,0.289,1725.0,,5881477.0,1830.0,1805.0,0.3702,59235.0,0.17,-0.5784,0.174,868.0,,,5175.0,102.0,10202.0," Different from Roda Frogs, who love to bathe in the sea, Thara Frogs prefer exposing themselves to the air, and control the skin moisture by producing mucus. The bright color signals the lethal poison they have, not from poison glands, but from the food they intake. Thara Frogs are said to have special digestive systems, which separate and discharge the poisonous substances, while absorbing only the safe components.",123.0,medium,water,fish,Papuchicha Forest
10203,galapago,354.0,585.0,0.1952,624.0,0.2082,1210.0,0.2082,,507.0,0.19252,590.0,1873.0,0.3122,0.325,-0.7546,79261.0,1366.0,0.325,2217.0,,7879562.0,1850.0,1873.0,0.3122,53897.0,0.2,-0.7546,0.195,976.0,,,6651.0,107.0,10203.0," Unusual penguins living in the sand, with habits more similar to Martins instead of birds. With stout bodies, they are unexpectedly agile and hard to catch. Also, they are natural alcohol lovers, making trouble for local residents to get a drink or two. Words have that they would hide beside local bars, follow the customers and steal their clothes, so that the beers are handed out... ""Eh... Eh?! That's all! I promise, that's all! You've got all my beers! At least leave my trousers!"" Screams of a young man echo on the beach at night, and are washed away by the waves...",131.0,medium,earth,brute,St. Darmaint East
10204,pest,295.0,585.0,0.1952,312.0,0.2082,312.0,0.2082,,507.0,0.1952,177.0,2108.0,0.4423,0.195,-0.6245,17589.0,975.0,0.195,6651.0,,3939781.0,1830.0,2888.0,0.4423,25866.0,0.33,-0.6245,0.325,1366.0,,,,107.0,10204.0," Pest is the name, and the pupil-shaped organ is actually their mouthparts, while their eyes have long been out of function due to all the time spent underground. To compensate for the lost sight, many of their nerves are transferred to the skin, thus the extreme sensitivity to vibration and temperature fluctuation. Legends have that, the flexible skin of Pests once served as the main material ofstrings for bards. ""...And then? Later, people found that sheep intestines boast more suitable length, and the string-making skills using Pest skin are gradually lost. If you have something with Pest skin strings, you're gonna be rich."" The bard with a grey beard cleared his pipe, exhaling gently an elegant smoke ring.",65.0,small,shadow,brute,Papuchicha Forest
10205,tri joint,327.0,507.0,0.169,270.0,0.1802,270.0,0.1802,,439.0,0.169,109.0,1825.0,0.383,0.282,-0.5417,23369.0,846.0,0.282,4891.0,,2753641.0,1840.0,2501.0,0.383,15891.0,0.17,-0.5417,0.169,1183.0,,,,101.0,10205.0," Bug-like monsters with hard shells on their back, multiple feet and no wings. With their palates sticking out like horns, they hunt and intimidate enemies. The lifetime of an individual is short, but the species has been around for a long time, being the proud witness of centuries of changes here on Comodo.",60.0,small,earth,insect,Zenhai Marsh
10206,rogue,478.0,599.0,0.1997,320.0,0.213,320.0,0.213,,519.0,0.1997,478.0,2157.0,0.4527,0.333,-0.6391,63925.0,999.0,0.333,6974.0,,8323558.0,1830.0,2956.0,0.4527,43469.0,0.2,-0.6391,0.2,1398.0,,,,108.0,10206.0," A gang wandering beside the residence of Euphonic Symphony, whose main task is robbing, targeting no one but dancers and bards inside the residence. They always shoot and run, and never stay for long - typical bastards. Members abide by a strict dressing code, where everyone dyes their hair red, steps on clogs, and wears golden chains with shorts. More importantly, clothes can never be worn before torn, so their wild nature is displayed.",132.0,medium,neutral,demi-human,Papuchicha Forest
10207,nereid,170.0,547.0,0.1823,583.0,0.1945,1130.0,0.1945,,474.0,0.1823,284.0,1750.0,0.2917,0.304,-0.705,24625.0,1276.0,0.304,1917.0,,3326473.0,1840.0,1750.0,0.2917,16949.0,0.18,-0.705,0.182,912.0,,,5752.0,104.0,10207.0," With slim bodies, smooth skins, short limbs and strong muscles, they move extremely fast. Poison Glands hide inside the mouth, with which they inject poison into preys with teeth and numb them. Nereid makes great medicine, so the island residents have been trying to cultivate them for more financial benefits.",63.0,small,earth,brute,Zenhai Marsh
10208,alligator,1049.0,572.0,0.1906,305.0,0.2033,305.0,0.2033,,496.0,0.1906,350.0,2059.0,0.4321,0.318,-0.61,116173.0,953.0,0.318,6337.0,,11173809.0,1840.0,2821.0,0.4321,78998.0,0.19,-0.61,0.191,1334.0,,,,106.0,10208.0," Monsters living in groups in the northeastern part of Zenhai Marsh, gathering near ponds and streams, and skillfully hiding in streams during hunting. Despite the ferocious appearance, they actually rarely start a fight. When revealing their claws and teeth, they are basically bluffing, except for encounters with Alligators also residing at Zenhai Marsh. The two clans are always fighting over territory issues and on really bad terms.",194.0,large,water,brute,Zenhai Marsh
10209,megalith,690.0,560.0,0.1868,299.0,0.1992,299.0,0.1992,,486.0,0.1868,690.0,2017.0,0.4234,0.187,-0.5977,91219.0,934.0,0.187,6054.0,,10583687.0,1860.0,2764.0,0.4234,134145.0,0.31,-0.5977,0.311,1307.0,,,,105.0,10209.0," Ancient, mysterious monsters spending most of their lives in slumber. They live on the ample magic in the cave of Comodo, and rarely require any food. Just like annual rings, the totems on their bodies grow with age. Older the Megalith, more complex the pattern. Thanks to the trait, they are historians' favorite monsters, and are said to have finally confirmed the era where the Dragon War on Comodo was waged.",191.0,large,neutral,formless,Comodo Cave
10210,seal,350.0,572.0,0.1906,305.0,0.2033,305.0,0.2033,,496.0,0.1906,583.0,2059.0,0.4321,0.191,-0.61,57812.0,953.0,0.191,6337.0,,7449206.0,1850.0,2821.0,0.4321,85018.0,0.32,-0.61,0.318,1334.0,,,,106.0,10210.0," Monsters with a bad memory, always covering their heads in attempts to recall important things. Failure to remember would render them crazy, and give them serious headaches. Please note, that the Seals in the above condition are extremely aggressive. Please keep away, Adventurers, or you will have to see who has the harder head between you and the Seal. ""Really? The Seals are pounding their heads again? Hurry... take the coconuts for smashing, now!"" Islanders harvesting coconuts are totally exhilarated. Great, seems that someone else is doing the work, again.",129.0,medium,water,brute,St. Darmaint East
10211,stalactic golem,368.0,633.0,0.2111,338.0,0.2251,338.0,0.2251,,549.0,0.211,1103.0,2280.0,0.4784,0.352,-0.6754,162069.0,1055.0,0.352,7718.0,,14016943.0,1860.0,3124.0,0.4784,110207.0,0.21,-0.6754,0.211,1477.0,,,,110.0,10211.0," Considered as the most concrete barrier found in monsters, they rarely take physical damage. On contrary, the extraordinary defense is accompanied by terrible movement and agility, which put them at disadvantage against fast enemies. Once in a while, they shed skins and suffer from decreased defense, so a hidden corner is always chosen for the period.",204.0,large,neutral,formless,Comodo Cave
10212,gargoyle,484.0,613.0,0.2044,654.0,0.218,1267.0,0.218,,531.0,0.2044,484.0,1962.0,0.327,0.341,-0.7902,62084.0,1430.0,0.341,2435.0,,8781487.0,1860.0,1962.0,0.327,42217.0,0.2,-0.7902,0.204,1022.0,,,7304.0,109.0,10212.0," Monsters enjoying advantages due to high speed and great balance, as well as perfect dynamic vision, capable of precisely targeting the prey during speedy flight. They use unique bow and arrows as weapons, and the arrow heads are especially different. Forged from unknown materials, the arrow heads emit red radiance when infused with magic, as if surrounded by fire. ""So the Gargoyles keep wandering around the dragon eggs? Hmm... Could it be that dragon eggs are the key to the arrow head mystery?"" The Craftsman always staying with the stove is finally traveling outside the Hermit's Village, determined to compete with the Gargoyles in terms of forging skills.",134.0,medium,wind,demi-human,Comodo Cave
10213,lude,484.0,647.0,0.21567,2372.0,0.4601,1941.0,0.28756,,647.0,0.21567,484.0,1596.0,0.4601,0.35945,-0.66139,78526.0,1510.0,0.35945,3079.0,,9267887.0,1860.0,1596.0,0.4601,53398.0,0.21567,-0.66139,0.21567,1078.0,,,9238.0,111.0,10213.0," Monsters enjoying advantages due to high speed and great balance, as well as perfect dynamic vision, capable of precisely targeting the prey during speedy flight. They use unique bow and arrows as weapons, and the arrow heads are especially different. Forged from unknown materials, the arrow heads emit red radiance when infused with magic, as if surrounded by fire. ""So the Gargoyles keep wandering around the dragon eggs? Hmm... Could it be that dragon eggs are the key to the arrow head mystery?"" The Craftsman always staying with the stove is finally traveling outside the Hermit's Village, determined to compete with the Gargoyles in terms of forging skills.",134.0,large,undead,undead,Comodo Cave
10214,medusa,260.0,898.0,0.2992,1346.0,0.4787,449.0,0.2393,,583.0,0.2992,260.0,2693.0,0.4488,0.15,-0.6881,87098.0,1346.0,0.449,6077.0,,6336867.0,1950.0,2693.0,0.4488,59227.0,0.3,-0.6881,0.15,449.0,,,3038.0,115.0,10214.0,美丽之物总是带毒，而用这句话来形容米杜莎真是再合适不过了。这种外表艳丽的魔物善于利用自己的美貌蛊惑猎物，几乎没有人能在米杜莎的微笑中保持清醒，可一旦沉溺其中，温香软玉就会瞬间变成锐利的毒牙，刺穿血脉跃动的脖颈。逃跑？不，你逃不掉的，因为她的双眼会映射你的恐惧，让你化作永垂不朽的石雕。,722.0,small,neutral,demi-human,亡者国度
10215,bloody murderer,825.0,1005.0,0.3351,1005.0,0.3351,2011.0,0.3351,,653.0,0.3351,825.0,2011.0,0.3351,0.335,-0.7708,170261.0,503.0,0.168,3737.0,,24090285.0,1960.0,2011.0,0.3351,250383.0,0.17,-0.7708,0.503,1508.0,,,7474.0,120.0,10215.0,在没有法度的尼芙菲姆，冥界女王支持一切释放自我的行为，而嗜血怪人正是以鲜血滋养而成的族群。在面具的遮掩下，趁夜色袭击落单的旅者，是他们最为喜爱的游戏。“……是、是谁？！出来！别再跟着我了！”幽幽夜色中，并没有人回应他嘶声力竭的质问。但与此同时，隐藏在阴影中的刀锋，却已悄然挨上了他的脖子……,765.0,large,shadow,demi-human,鬼的峡谷
10216,quve,484.0,647.0,0.21567,2372.0,0.4601,1941.0,0.28756,,647.0,0.21567,484.0,1596.0,0.4601,0.35945,-0.66139,78526.0,1510.0,0.35945,3079.0,,9267887.0,1860.0,1596.0,0.4601,53398.0,0.21567,-0.66139,0.21567,1078.0,,,9238.0,111.0,10216.0,,134.0,large,undead,undead,Comodo Cave
10217,beetle king,248.0,821.0,0.2735,1231.0,0.4377,410.0,0.2188,,533.0,0.2735,248.0,1641.0,0.2735,0.274,-0.6292,36217.0,410.0,0.137,2556.0,,5194824.0,1940.0,3283.0,0.5471,53260.0,0.14,-0.6292,0.41,1231.0,,,5113.0,111.0,10217.0,居住于卡拉拉森林中的昆虫魔物，生性温和，不喜争斗。以砂石泥土中蕴含的魔力为食，也会以自身的排泄物滋养土地，是卡拉拉森林生态链中不可缺少的一环。,688.0,small,earth,insect,卡拉拉森林
10218,heirozoist,484.0,647.0,0.21567,2372.0,0.4601,1941.0,0.28756,,647.0,0.21567,484.0,1596.0,0.4601,0.35945,-0.66139,78526.0,1510.0,0.35945,3079.0,,9267887.0,1860.0,1596.0,0.4601,53398.0,0.21567,-0.66139,0.21567,1078.0,,,9238.0,111.0,10218.0,,134.0,large,undead,undead,Comodo Cave
10219,flame skull,408.0,977.0,0.3257,1466.0,0.5211,489.0,0.2605,,635.0,0.3257,136.0,3908.0,0.6514,0.163,-0.7491,57671.0,1466.0,0.489,7135.0,,7621324.0,1970.0,1954.0,0.3257,39217.0,0.33,-0.7491,0.163,489.0,,,3567.0,119.0,10219.0,位于阿鲁纳贝兹教国海域内的无名岛，是一处秘密的行刑之地。这里不仅是流放者的聚集所，也是死刑者的埋骨地。而那些被刽子手砍下的头颅化作了充满怨念的魔物，以活人的灵魂为燃料，延续自己无法熄灭的仇恨之火。“这些颅骨周身环绕的火焰，可以在一定程度上延长濒死者的性命。我们为其取名为永续魂火，并正式列入魔药学的研究对象之一……”戴着眼镜的研究员按下了开关，大量液体瞬间涌入透明的玻璃缸中，将哀嚎的火焰颅骨淹没……,756.0,small,ghost,demi-human,无名岛
10220,wootan shooter,538.0,957.0,0.3191,1436.0,0.5105,479.0,0.2553,,622.0,0.3191,538.0,1915.0,0.3191,0.319,-0.7339,61840.0,479.0,0.16,3432.0,,14577909.0,1940.0,3829.0,0.6382,90942.0,0.16,-0.7339,0.479,1436.0,,,6864.0,118.0,10220.0,与伍坦战士同出一族，但关系并不和睦。它们是被族群淘汰的“弱者”，因在成年之际未能通过族群的考验而被驱逐。相同的遭遇让这些伍坦弹弓手聚在了一起，没有力量和体格，就借助智慧与灵巧。正是这般韧劲，为它们赢得了卡拉拉森林中的一席之地。“……真有趣。魔物的社会也有压迫和反抗？或许有一天……它们会从伍坦战士手中，接过森林统治者的座位呢。”远远观察着伍坦弹弓手制作武器的学者一声轻笑，发出了饶有深意的感慨。,748.0,medium,earth,demi-human,卡拉拉森林
10221,hellhound,251.0,839.0,0.2798,1259.0,0.4476,420.0,0.2238,,546.0,0.2798,251.0,2518.0,0.4197,0.14,-0.6435,36513.0,1259.0,0.42,5343.0,,5465555.0,1950.0,2518.0,0.4197,24829.0,0.28,-0.6435,0.14,420.0,,,2672.0,112.0,10221.0,地狱犬是冥界女王海拉最忠诚的奴仆。然而这份忠诚并非发自内心，而是来自一纸无法废弃的灵魂契约。所有与海拉签下契约的生灵，都会在死亡时永远失去自己的灵魂，化作亡者国度的守门人。,697.0,small,shadow,demi-human,亡者国度
10223,ragged zombie,635.0,858.0,0.286,1287.0,0.4577,429.0,0.2288,,558.0,0.286,381.0,1716.0,0.286,0.286,-0.6579,92950.0,429.0,0.143,2790.0,,11488986.0,1970.0,3433.0,0.5721,136691.0,0.14,-0.6579,0.429,1287.0,,,5579.0,113.0,10223.0,从地底世界归来的亡者，即使身体已经腐烂，也不愿意安眠于泥土之中。但也有隐秘的崇拜者认为这是死而复生的神迹，能将逝去之人的灵魂从冥府召回。,705.0,medium,undead,undead,无名岛
10224,wootan fighter,1157.0,878.0,0.2928,1318.0,0.4685,439.0,0.2342,,571.0,0.2928,386.0,1757.0,0.2928,0.293,-0.6734,132789.0,439.0,0.146,2915.0,,18121845.0,1940.0,3514.0,0.5856,195278.0,0.15,-0.6734,0.439,1318.0,,,5829.0,114.0,10224.0,卡拉拉森林的实际统治者，管理并领导着森林中的其他族群。崇尚力量，即使在族群内部，也不接受体格孱弱或天生残疾的同胞。每一个成年之际的伍坦战士都必须接受严格的考验，若是无法通过，就会被驱逐出族群。,714.0,large,fire,demi-human,卡拉拉森林
10225,choco,310.0,821.0,0.2735,1231.0,0.4377,410.0,0.2188,,533.0,0.2735,186.0,2462.0,0.4103,0.274,-0.6292,43460.0,410.0,0.137,2556.0,,5194824.0,1930.0,2462.0,0.4103,63912.0,0.14,-0.6292,0.41,1231.0,,,5113.0,111.0,10225.0,活泼又吵闹的魔物，拥有不输给人类的智慧，在汶巴拉的雨林成为旅游胜地之前，就和当地的土著雨檀族相处愉快，如今更是在贵族间掀起了一股饲养巧克猴的风潮。据不可靠小道消息，已有巧克猴的狂热爱好者正在筹备第一届宠物竞赛，从毛色、体型、运动能力等多方面评选最符合大众审美的宠物品种，为想要饲养巧克猴的人们提供最系统的选购指南。,688.0,small,fire,brute,噜噜卡森林
